Keuwl Accelerometer Data File
2017-11-22 11-23-54

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
3.3398092,-0.032212,-0.074108,0.966463,0.969835,4.779384,246.507202
3.3498282,-0.033129,-0.065341,0.961570,0.964356,4.356850,243.114059
3.3598301,-0.031193,-0.075127,0.962589,0.966020,4.830429,247.451935
3.3698063,-0.031193,-0.064424,0.969419,0.972058,4.222852,244.164795
3.3798494,-0.029256,-0.067278,0.967380,0.970158,4.336935,246.498260
3.3904247,-0.026300,-0.062385,0.965443,0.967814,4.011369,247.141235
3.4005094,-0.033129,-0.069215,0.966463,0.969504,4.539629,244.422119
3.4105721,-0.027319,-0.065341,0.973293,0.975866,4.161890,247.310349
3.4198363,-0.025382,-0.065341,0.970336,0.972865,4.131901,248.771057
3.4298623,-0.028236,-0.070234,0.963507,0.966476,4.492221,248.098297
3.4398181,-0.029256,-0.068298,0.968400,0.971246,4.387402,246.811737
3.4509642,-0.028236,-0.069215,0.961570,0.964471,4.445278,247.806854
